LOAN_AGREEMENT_NO;APPLICATION_DATE;APPLICATION_ID;loan_amount;loan_tenure_in_months;PURPOSE_OF_LOAN;LOAN_PRODUCT;LOAN_PRODUCT_LABEL;EXISTING_LOAN;LTV;Credit_Amount;Branch;STATE;Charge description;Charge Category;EMI;Total Times Paid;Status;grade
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;2508252;City15;ANDHRA PRADESH;AMT FINANCED;Installment Related;1023392;6;0;1
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;41748;City15;ANDHRA PRADESH;AMT FINANCED;Installment Related;1023392;6;0;4
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;9048;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;5
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;86800;City7;MAHARASHTRA;AMT FINANCED;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;2913200;City7;MAHARASHTRA;AMT FINANCED;Installment Related;415984;4;1;1
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;30822;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;4
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;27877;City9;CHANDIGARH;AMT FINANCED;Installment Related;203652;4;1;4
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;982123;City9;CHANDIGARH;AMT FINANCED;Installment Related;203652;4;1;1
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;2103;City9;CHANDIGARH;INSTALLMENT AMOUNT;Installment Related;203652;4;1;5
